,epoch-10
animate_subject_passive,0.503
animate_subject_trans,0.6352941176470588
causative,0.6146694214876033
complex_NP_island,0.504
coordinate_structure_constraint_complex_left_branch,0.48
coordinate_structure_constraint_object_extraction,0.33974358974358976
determiner_noun_agreement_1,0.504
determiner_noun_agreement_with_adj_irregular_1,0.508
tough_vs_raising_1,0.5738068812430632
distractor_agreement_relational_noun,0.47342995169082125
distractor_agreement_relative_clause,0.4291907514450867
drop_argument,0.5700245700245701
ellipsis_n_bar_1,0.537
ellipsis_n_bar_2,0.8970438328236493
existential_there_object_raising,0.6817713697219362
existential_there_quantifiers_1,0.6519337016574586
existential_there_quantifiers_2,0.888
existential_there_subject_raising,0.485310119695321
expletive_it_object_raising,0.6564299424184261
inchoative,0.6737766624843162
intransitive,0.7272727272727273
irregular_past_participle_adjectives,0.477
irregular_past_participle_verbs,0.542
irregular_plural_subject_verb_agreement_1,0.5330330330330331
irregular_plural_subject_verb_agreement_2,0.582
left_branch_island_echo_question,0.61
left_branch_island_simple_question,0.306
npi_present_1,0.489
npi_present_2,0.496
only_npi_licensor_present,0.849
only_npi_scope,0.307
passive_1,0.42157953281423804
passive_2,0.40154867256637167
principle_A_c_command,0.319
principle_A_case_1,0.919
principle_A_case_2,0.6834170854271356
principle_A_domain_1,0.999
principle_A_domain_2,0.862
principle_A_domain_3,0.552
principle_A_reconstruction,0.16381909547738693
regular_plural_subject_verb_agreement_1,0.7004048582995951
regular_plural_subject_verb_agreement_2,0.504
sentential_negation_npi_licensor_present,0.904
sentential_negation_npi_scope,0.316
sentential_subject_island,0.377
tough_vs_raising_2,0.4873853211009174
transitive,0.4724517906336088
wh_island,0.648
wh_questions_object_gap,0.226890756302521
wh_questions_subject_gap,0.35537190082644626
wh_questions_subject_gap_long_distance,0.35
wh_vs_that_no_gap,0.25547445255474455
wh_vs_that_no_gap_long_distance,0.222
wh_vs_that_with_gap,0.8043478260869565
wh_vs_that_with_gap_long_distance,0.802
adjunct_island,0.678
anaphor_gender_agreement,0.69
anaphor_number_agreement,0.841
determiner_noun_agreement_irregular_1,0.48
determiner_noun_agreement_with_adjective_1,0.501
