,epoch-10
animate_subject_passive,0.441
animate_subject_trans,0.7411764705882353
causative,0.6570247933884298
complex_NP_island,0.534
coordinate_structure_constraint_complex_left_branch,0.478
coordinate_structure_constraint_object_extraction,0.33974358974358976
determiner_noun_agreement_1,0.503
determiner_noun_agreement_with_adj_irregular_1,0.455
tough_vs_raising_1,0.5216426193118757
distractor_agreement_relational_noun,0.5024154589371981
distractor_agreement_relative_clause,0.4523121387283237
drop_argument,0.6191646191646192
ellipsis_n_bar_1,0.662
ellipsis_n_bar_2,0.7726809378185525
existential_there_object_raising,0.6519052523171988
existential_there_subject_raising,0.6256800870511425
expletive_it_object_raising,0.6833013435700576
inchoative,0.7189460476787954
intransitive,0.7213438735177866
irregular_past_participle_adjectives,0.405
irregular_past_participle_verbs,0.737
irregular_plural_subject_verb_agreement_1,0.5375375375375375
irregular_plural_subject_verb_agreement_2,0.568
left_branch_island_echo_question,0.472
left_branch_island_simple_question,0.445
npi_present_1,0.515
npi_present_2,0.46
only_npi_licensor_present,0.888
only_npi_scope,0.656
passive_1,0.40044493882091214
passive_2,0.3838495575221239
principle_A_c_command,0.312
principle_A_case_1,0.987
principle_A_case_2,0.7326633165829146
principle_A_domain_1,0.979
principle_A_domain_2,0.813
principle_A_domain_3,0.542
principle_A_reconstruction,0.13668341708542714
regular_plural_subject_verb_agreement_1,0.7152496626180836
regular_plural_subject_verb_agreement_2,0.517
sentential_negation_npi_licensor_present,0.911
sentential_negation_npi_scope,0.206
sentential_subject_island,0.265
tough_vs_raising_2,0.5263761467889908
transitive,0.5633608815426997
wh_island,0.269
wh_questions_object_gap,0.36134453781512604
wh_questions_subject_gap,0.6611570247933884
wh_questions_subject_gap_long_distance,0.682
wh_vs_that_no_gap,0.49635036496350365
wh_vs_that_no_gap_long_distance,0.517
wh_vs_that_with_gap,0.8478260869565217
wh_vs_that_with_gap_long_distance,0.643
adjunct_island,0.663
anaphor_gender_agreement,0.748
anaphor_number_agreement,0.846
determiner_noun_agreement_irregular_1,0.469
determiner_noun_agreement_with_adjective_1,0.483
