,epoch-10
animate_subject_passive,0.45
animate_subject_trans,0.5333333333333333
causative,0.4452479338842975
complex_NP_island,0.386
coordinate_structure_constraint_complex_left_branch,0.562
coordinate_structure_constraint_object_extraction,0.3141025641025641
determiner_noun_agreement_1,0.516
determiner_noun_agreement_with_adj_irregular_1,0.516
tough_vs_raising_1,0.683684794672586
distractor_agreement_relational_noun,0.4895330112721417
distractor_agreement_relative_clause,0.46965317919075145
drop_argument,0.5651105651105651
ellipsis_n_bar_1,0.579
ellipsis_n_bar_2,0.4026503567787971
existential_there_object_raising,0.537590113285273
existential_there_quantifiers_1,0.5359116022099447
existential_there_quantifiers_2,0.757
existential_there_subject_raising,0.48313384113166485
expletive_it_object_raising,0.525911708253359
inchoative,0.4178168130489335
intransitive,0.45454545454545453
irregular_past_participle_adjectives,0.523
irregular_past_participle_verbs,0.527
irregular_plural_subject_verb_agreement_1,0.503003003003003
irregular_plural_subject_verb_agreement_2,0.494
left_branch_island_echo_question,0.22
left_branch_island_simple_question,0.638
npi_present_1,0.357
npi_present_2,0.451
only_npi_licensor_present,0.444
only_npi_scope,0.352
passive_1,0.5695216907675195
passive_2,0.5984513274336283
principle_A_c_command,0.495
principle_A_case_1,0.897
principle_A_case_2,0.44221105527638194
principle_A_domain_1,0.777
principle_A_domain_2,0.429
principle_A_domain_3,0.5
principle_A_reconstruction,0.43618090452261304
regular_plural_subject_verb_agreement_1,0.6194331983805668
regular_plural_subject_verb_agreement_2,0.502
sentential_negation_npi_licensor_present,0.863
sentential_negation_npi_scope,0.662
sentential_subject_island,0.497
tough_vs_raising_2,0.3038990825688073
transitive,0.5964187327823691
wh_island,0.544
wh_questions_object_gap,0.5378151260504201
wh_questions_subject_gap,0.4380165289256198
wh_questions_subject_gap_long_distance,0.531
wh_vs_that_no_gap,0.45985401459854014
wh_vs_that_no_gap_long_distance,0.551
wh_vs_that_with_gap,0.4673913043478261
wh_vs_that_with_gap_long_distance,0.33
adjunct_island,0.542
anaphor_gender_agreement,0.655
anaphor_number_agreement,0.576
determiner_noun_agreement_irregular_1,0.53
determiner_noun_agreement_with_adjective_1,0.5
