,epoch-7
adjunct_island,0.8
anaphor_gender_agreement,0.924
anaphor_number_agreement,0.971
animate_subject_passive,0.675
animate_subject_trans,0.8627450980392157
causative,0.7417355371900827
complex_NP_island,0.544
coordinate_structure_constraint_complex_left_branch,0.424
coordinate_structure_constraint_object_extraction,0.7307692307692307
determiner_noun_agreement_1,0.97
determiner_noun_agreement_irregular_1,0.865
determiner_noun_agreement_with_adj_irregular_1,0.813
determiner_noun_agreement_with_adjective_1,0.91
distractor_agreement_relational_noun,0.5314009661835749
distractor_agreement_relative_clause,0.4595375722543353
drop_argument,0.6461916461916462
ellipsis_n_bar_1,0.721
ellipsis_n_bar_2,0.8267074413863404
existential_there_object_raising,0.7270854788877446
existential_there_quantifiers_1,0.9779005524861878
existential_there_quantifiers_2,0.455
existential_there_subject_raising,0.735582154515778
expletive_it_object_raising,0.7408829174664108
inchoative,0.7013801756587202
intransitive,0.7766798418972332
irregular_past_participle_adjectives,0.859
irregular_past_participle_verbs,0.869
irregular_plural_subject_verb_agreement_1,0.6066066066066066
irregular_plural_subject_verb_agreement_2,0.853
left_branch_island_echo_question,0.699
left_branch_island_simple_question,0.339
npi_present_1,0.307
npi_present_2,0.418
only_npi_licensor_present,0.672
only_npi_scope,0.532
passive_1,0.6229143492769744
passive_2,0.625
principle_A_c_command,0.493
principle_A_case_1,1.0
principle_A_case_2,0.9346733668341709
principle_A_domain_1,0.991
principle_A_domain_2,0.665
principle_A_domain_3,0.585
principle_A_reconstruction,0.29346733668341707
regular_plural_subject_verb_agreement_1,0.766531713900135
regular_plural_subject_verb_agreement_2,0.723
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.332
sentential_subject_island,0.287
tough_vs_raising_1,0.5560488346281909
tough_vs_raising_2,0.7373853211009175
transitive,0.650137741046832
wh_island,0.49
wh_questions_object_gap,0.44537815126050423
wh_questions_subject_gap,0.6694214876033058
wh_questions_subject_gap_long_distance,0.824
wh_vs_that_no_gap,0.7372262773722628
wh_vs_that_no_gap_long_distance,0.955
wh_vs_that_with_gap,0.6195652173913043
wh_vs_that_with_gap_long_distance,0.169
