,epoch-10
adjunct_island,0.696
anaphor_gender_agreement,0.943
anaphor_number_agreement,0.936
animate_subject_passive,0.518
animate_subject_trans,0.7764705882352941
causative,0.6198347107438017
complex_NP_island,0.485
coordinate_structure_constraint_complex_left_branch,0.423
coordinate_structure_constraint_object_extraction,0.28205128205128205
determiner_noun_agreement_1,0.505
determiner_noun_agreement_irregular_1,0.481
determiner_noun_agreement_with_adj_irregular_1,0.518
determiner_noun_agreement_with_adjective_1,0.498
distractor_agreement_relational_noun,0.4830917874396135
distractor_agreement_relative_clause,0.43352601156069365
drop_argument,0.6142506142506142
ellipsis_n_bar_1,0.524
ellipsis_n_bar_2,0.8827726809378186
existential_there_object_raising,0.7106076210092688
existential_there_quantifiers_1,0.8729281767955801
existential_there_quantifiers_2,0.797
existential_there_subject_raising,0.6322089227421109
expletive_it_object_raising,0.6852207293666027
inchoative,0.6599749058971142
intransitive,0.7193675889328063
irregular_past_participle_adjectives,0.555
irregular_past_participle_verbs,0.624
irregular_plural_subject_verb_agreement_1,0.521021021021021
irregular_plural_subject_verb_agreement_2,0.577
left_branch_island_echo_question,0.616
left_branch_island_simple_question,0.299
npi_present_1,0.435
npi_present_2,0.461
only_npi_licensor_present,0.691
only_npi_scope,0.171
passive_1,0.44160177975528364
passive_2,0.42035398230088494
principle_A_c_command,0.355
principle_A_case_1,0.931
principle_A_case_2,0.6984924623115578
principle_A_domain_1,0.998
principle_A_domain_2,0.753
principle_A_domain_3,0.645
principle_A_reconstruction,0.1507537688442211
regular_plural_subject_verb_agreement_1,0.728744939271255
regular_plural_subject_verb_agreement_2,0.553
sentential_negation_npi_licensor_present,0.959
sentential_negation_npi_scope,0.343
sentential_subject_island,0.377
tough_vs_raising_1,0.5338512763596004
tough_vs_raising_2,0.518348623853211
transitive,0.4573002754820937
wh_island,0.712
wh_questions_object_gap,0.18487394957983194
wh_questions_subject_gap,0.2975206611570248
wh_questions_subject_gap_long_distance,0.342
wh_vs_that_no_gap,0.2773722627737226
wh_vs_that_no_gap_long_distance,0.239
wh_vs_that_with_gap,0.8152173913043478
wh_vs_that_with_gap_long_distance,0.787
