,epoch-10
animate_subject_passive,0.47
animate_subject_trans,0.6078431372549019
causative,0.6838842975206612
complex_NP_island,0.564
coordinate_structure_constraint_complex_left_branch,0.102
coordinate_structure_constraint_object_extraction,0.5512820512820513
determiner_noun_agreement_1,0.764
determiner_noun_agreement_with_adj_irregular_1,0.496
tough_vs_raising_1,0.5771365149833518
distractor_agreement_relational_noun,0.3977455716586151
distractor_agreement_relative_clause,0.3439306358381503
drop_argument,0.5503685503685504
ellipsis_n_bar_1,0.515
ellipsis_n_bar_2,0.8154943934760448
existential_there_object_raising,0.7404737384140062
existential_there_quantifiers_1,0.8011049723756906
existential_there_quantifiers_2,0.524
existential_there_subject_raising,0.5342763873775843
expletive_it_object_raising,0.7197696737044146
inchoative,0.7465495608531995
intransitive,0.7450592885375494
irregular_past_participle_adjectives,0.594
irregular_past_participle_verbs,0.811
irregular_plural_subject_verb_agreement_1,0.5720720720720721
irregular_plural_subject_verb_agreement_2,0.718
left_branch_island_echo_question,0.602
left_branch_island_simple_question,0.26
npi_present_1,0.917
npi_present_2,0.777
only_npi_licensor_present,0.908
only_npi_scope,0.36
passive_1,0.4649610678531702
passive_2,0.37389380530973454
principle_A_c_command,0.571
principle_A_case_1,0.997
principle_A_case_2,0.6402010050251257
principle_A_domain_1,0.906
principle_A_domain_2,0.556
principle_A_domain_3,0.492
principle_A_reconstruction,0.32261306532663314
regular_plural_subject_verb_agreement_1,0.7192982456140351
regular_plural_subject_verb_agreement_2,0.639
sentential_negation_npi_licensor_present,0.946
sentential_negation_npi_scope,0.303
sentential_subject_island,0.562
tough_vs_raising_2,0.5068807339449541
transitive,0.49586776859504134
wh_island,0.595
wh_questions_object_gap,0.46218487394957986
wh_questions_subject_gap,0.5950413223140496
wh_questions_subject_gap_long_distance,0.744
wh_vs_that_no_gap,0.5766423357664233
wh_vs_that_no_gap_long_distance,0.682
wh_vs_that_with_gap,0.41304347826086957
wh_vs_that_with_gap_long_distance,0.366
adjunct_island,0.462
anaphor_gender_agreement,0.644
anaphor_number_agreement,0.669
determiner_noun_agreement_irregular_1,0.718
determiner_noun_agreement_with_adjective_1,0.546
